id_venta,fecha,ciudad,plataforma,genero,precio,cantidad
37,2024-06-15,Barranquilla,PC,Accion,120000,1
38,2024-03-30,Barranquilla,Xbox,Aventura,130000,3
39,2024-06-09,Bucaramanga,Nintendo,Deportes,130000,4
40,2024-05-07,Barranquilla,Xbox,Shooter,170000,3
41,2024-03-28,Barranquilla,Xbox,Estrategia,140000,3
42,2024-05-30,Bucaramanga,Nintendo,Shooter,160000,1
43,2024-04-13,Bucaramanga,PC,Deportes,110000,4
44,2024-03-19,Bucaramanga,Nintendo,Accion,90000,3
45,2024-04-11,Cali,PlayStation,Aventura,180000,3
46,2024-02-13,Cartagena,PC,Aventura,130000,1
47,2024-05-25,Medellin,Xbox,Deportes,100000,4
48,2024-01-05,Cali,PlayStation,Deportes,150000,2
49,2024-05-24,Bucaramanga,PC,Accion,140000,1
50,2024-05-24,Cali,PlayStation,Aventura,140000,4
51,2024-01-31,Medellin,PC,Shooter,180000,3
52,2024-05-17,Bogota,Xbox,Estrategia,170000,3
53,2024-05-27,Medellin,Xbox,Shooter,140000,1
54,2024-04-30,Bucaramanga,Xbox,Deportes,180000,4
55,2024-02-14,Cali,Xbox,Estrategia,140000,4
56,2024-02-19,Bucaramanga,PlayStation,Accion,100000,4
57,2024-02-17,Cali,Xbox,Accion,120000,4
58,2024-06-03,Cali,PlayStation,Accion,90000,2
59,2024-05-28,Bucaramanga,Nintendo,Aventura,110000,1
60,2024-03-18,Cartagena,Xbox,Accion,90000,4
61,2024-03-29,Medellin,PlayStation,Estrategia,120000,4
62,2024-04-29,Medellin,PlayStation,Deportes,140000,1
63,2024-06-29,Cartagena,Xbox,Accion,150000,2
64,2024-04-11,Bogota,Xbox,Shooter,100000,2
65,2024-06-12,Cartagena,PC,RPG,130000,3
66,2024-05-13,Cartagena,PlayStation,Deportes,180000,4
67,2024-03-15,Bucaramanga,Xbox,Shooter,90000,2
68,2024-02-28,Bogota,Xbox,Deportes,100000,4
69,2024-02-25,Bogota,PlayStation,Deportes,130000,3
70,2024-05-22,Bogota,Xbox,Accion,170000,1
71,2024-01-05,Medellin,PC,RPG,150000,3
72,2024-03-24,Bogota,PlayStation,Aventura,160000,2
73,2024-03-15,Medellin,Xbox,Deportes,120000,2
74,2024-05-19,Cartagena,PC,Aventura,180000,4
75,2024-01-02,Bogota,PlayStation,Accion,100000,1
76,2024-06-26,Bogota,Xbox,Shooter,150000,1
77,2024-06-18,Bogota,PlayStation,Accion,110000,4
78,2024-06-28,Barranquilla,Nintendo,Aventura,150000,4
79,2024-01-09,Barranquilla,Nintendo,Shooter,150000,4
80,2024-01-19,Cali,PlayStation,Accion,110000,3
81,2024-04-27,Cali,PC,Deportes,90000,2
82,2024-03-19,Cartagena,PC,RPG,110000,1
83,2024-06-29,Bogota,Nintendo,Shooter,180000,3
84,2024-05-12,Bucaramanga,PC,Shooter,150000,2
85,2024-01-15,Bucaramanga,PlayStation,Deportes,180000,1
86,2024-01-04,Cali,Xbox,Aventura,120000,2
87,2024-01-07,Barranquilla,Nintendo,Estrategia,140000,1
88,2024-04-28,Bogota,Xbox,Deportes,110000,2
89,2024-02-09,Cali,Xbox,Aventura,160000,2
90,2024-01-12,Medellin,Xbox,Shooter,160000,4
91,2024-03-11,Cartagena,Nintendo,Shooter,120000,4
92,2024-05-24,Medellin,Nintendo,Shooter,170000,4
93,2024-03-22,Barranquilla,PC,Shooter,110000,1
94,2024-03-26,Barranquilla,PC,Shooter,170000,1
95,2024-01-10,Bogota,Nintendo,Estrategia,110000,1
96,2024-02-26,Bogota,PC,RPG,160000,1
97,2024-04-26,Medellin,PlayStation,Shooter,150000,3
98,2024-04-12,Bucaramanga,PlayStation,Shooter,170000,2
99,2024-02-09,Cartagena,Xbox,Shooter,150000,2
100,2024-06-18,Bogota,PlayStation,Deportes,150000,2
101,2024-05-31,Bogota,Xbox,Estrategia,170000,2
102,2024-01-23,Barranquilla,PlayStation,Shooter,120000,1
103,2024-02-13,Bucaramanga,PlayStation,Aventura,140000,4
104,2024-03-26,Medellin,PC,Estrategia,130000,3
105,2024-04-16,Bogota,Nintendo,Shooter,140000,3
106,2024-03-16,Barranquilla,Nintendo,Estrategia,170000,1
107,2024-02-13,Barranquilla,PC,Accion,100000,4
108,2024-04-28,Barranquilla,PC,Accion,110000,1
109,2024-05-13,Cartagena,Xbox,Accion,170000,3
110,2024-04-17,Barranquilla,PlayStation,Estrategia,100000,4
111,2024-01-06,Bucaramanga,Xbox,Shooter,160000,4
112,2024-04-17,Barranquilla,PlayStation,Aventura,130000,2
113,2024-04-30,Barranquilla,Nintendo,Shooter,160000,4
114,2024-05-21,Cartagena,Nintendo,Shooter,160000,1
115,2024-06-29,Medellin,PlayStation,Aventura,160000,3
116,2024-04-05,Cartagena,PC,Deportes,180000,2
117,2024-05-24,Medellin,Xbox,RPG,90000,1
118,2024-02-12,Medellin,Xbox,RPG,120000,1
119,2024-01-11,Bogota,PC,Aventura,170000,2
120,2024-06-22,Cali,PC,Estrategia,160000,4
121,2024-06-10,Bogota,PlayStation,RPG,140000,3
122,2024-01-11,Bogota,Xbox,RPG,110000,2
123,2024-03-30,Bucaramanga,Nintendo,Deportes,140000,4
124,2024-03-16,Bogota,Xbox,Shooter,150000,1
125,2024-04-02,Barranquilla,Nintendo,Accion,160000,4
126,2024-02-10,Cartagena,Nintendo,RPG,180000,2
127,2024-02-20,Bucaramanga,PC,Shooter,90000,4
128,2024-02-13,Cali,Xbox,Accion,110000,4
129,2024-04-09,Cartagena,PC,Estrategia,120000,2
130,2024-01-14,Barranquilla,PC,Shooter,170000,3
131,2024-06-17,Medellin,PlayStation,Aventura,180000,1
132,2024-04-25,Bucaramanga,Xbox,Shooter,150000,2
133,2024-02-28,Medellin,PlayStation,Shooter,150000,4
134,2024-06-28,Bucaramanga,PlayStation,Aventura,140000,4
135,2024-05-26,Medellin,PC,Shooter,90000,2
136,2024-04-10,Cartagena,PlayStation,Shooter,170000,1
137,2024-05-25,Barranquilla,PlayStation,Estrategia,140000,3
138,2024-03-03,Barranquilla,PC,Estrategia,150000,4
139,2024-06-03,Medellin,PC,Accion,170000,1
140,2024-01-17,Cali,Nintendo,RPG,130000,2
141,2024-05-16,Cali,PlayStation,Shooter,140000,2
142,2024-01-19,Bucaramanga,PC,Estrategia,90000,4
143,2024-06-06,Medellin,PlayStation,Estrategia,180000,1
144,2024-03-02,Bogota,PlayStation,Accion,160000,4
145,2024-03-28,Bucaramanga,PC,Estrategia,130000,2
146,2024-06-28,Bucaramanga,PC,Accion,170000,1
147,2024-04-22,Cartagena,Nintendo,Shooter,170000,4
148,2024-06-03,Cali,PlayStation,Estrategia,180000,3
149,2024-03-26,Cali,Nintendo,Shooter,140000,1
150,2024-03-30,Cali,Xbox,RPG,170000,1
151,2024-04-28,Medellin,Nintendo,Accion,150000,4
152,2024-02-08,Bogota,Xbox,RPG,170000,2
153,2024-04-20,Cali,PlayStation,Shooter,130000,2
154,2024-06-12,Bogota,PlayStation,Deportes,110000,1
155,2024-05-17,Bogota,Nintendo,RPG,170000,2
156,2024-04-28,Cali,PC,Aventura,140000,3
157,2024-06-16,Bucaramanga,PC,Shooter,140000,1
158,2024-05-24,Cartagena,PlayStation,Deportes,120000,4
159,2024-06-08,Bogota,Xbox,Shooter,130000,3
160,2024-03-27,Cali,Nintendo,Estrategia,160000,1
161,2024-05-05,Bogota,Nintendo,RPG,130000,4
162,2024-05-29,Medellin,PlayStation,Estrategia,180000,4
163,2024-04-21,Bogota,Nintendo,Accion,140000,3
164,2024-01-24,Barranquilla,PlayStation,Aventura,100000,3
165,2024-05-19,Cartagena,Nintendo,Shooter,110000,1
166,2024-02-11,Cartagena,PC,Aventura,140000,2
167,2024-03-21,Barranquilla,PlayStation,Estrategia,90000,3
168,2024-01-15,Cartagena,PlayStation,Accion,180000,4
169,2024-05-22,Cartagena,PC,Aventura,130000,2
170,2024-05-07,Bogota,Xbox,Aventura,130000,3
171,2024-02-06,Barranquilla,Xbox,Estrategia,150000,1
172,2024-06-04,Bogota,PlayStation,Shooter,180000,1
173,2024-03-11,Cartagena,Xbox,Estrategia,150000,2
174,2024-03-01,Cali,PC,Deportes,140000,2
175,2024-01-03,Medellin,PlayStation,RPG,110000,1
176,2024-03-03,Barranquilla,PC,Estrategia,100000,4
177,2024-04-04,Medellin,PlayStation,Shooter,90000,2
178,2024-03-30,Medellin,Xbox,Estrategia,90000,3
179,2024-01-23,Bogota,Nintendo,Shooter,110000,4
180,2024-02-16,Cali,PC,Estrategia,160000,4
181,2024-03-16,Bogota,PC,RPG,90000,3
182,2024-05-14,Bogota,PlayStation,Aventura,150000,1
183,2024-01-12,Bogota,PC,RPG,120000,4
184,2024-01-12,Cali,Nintendo,Estrategia,150000,3
185,2024-03-06,Cartagena,PC,Estrategia,150000,1
186,2024-02-28,Barranquilla,Nintendo,RPG,170000,1
187,2024-06-20,Bogota,Nintendo,Deportes,170000,1
188,2024-06-18,Cali,PlayStation,Aventura,160000,3
189,2024-03-29,Bucaramanga,Nintendo,Aventura,160000,1
190,2024-03-21,Bucaramanga,PC,Deportes,90000,3
191,2024-03-13,Bogota,PlayStation,Deportes,100000,3
192,2024-01-08,Cali,PC,Deportes,130000,2
193,2024-03-17,Bucaramanga,Xbox,Deportes,170000,4
194,2024-04-24,Bucaramanga,PlayStation,RPG,140000,1
195,2024-02-18,Bucaramanga,Nintendo,Estrategia,140000,3
196,2024-06-27,Medellin,PlayStation,Estrategia,100000,4
197,2024-05-17,Medellin,Xbox,Accion,140000,3
198,2024-01-17,Bucaramanga,PlayStation,Aventura,120000,4
199,2024-01-13,Cali,PC,Shooter,100000,3
200,2024-02-17,Bucaramanga,PC,Accion,180000,1
201,2024-04-15,Cartagena,Xbox,Estrategia,120000,1
202,2024-03-07,Cartagena,PC,Aventura,100000,1
203,2024-05-25,Barranquilla,Nintendo,Accion,180000,1
204,2024-03-24,Cali,PlayStation,Aventura,180000,1
205,2024-04-24,Bucaramanga,Nintendo,RPG,110000,4
206,2024-02-21,Barranquilla,PlayStation,Estrategia,150000,1
207,2024-03-06,Medellin,Nintendo,Shooter,110000,3
208,2024-05-25,Medellin,Xbox,Estrategia,170000,4
209,2024-01-25,Medellin,Xbox,Deportes,130000,1
210,2024-06-23,Cartagena,PlayStation,RPG,100000,2
211,2024-02-26,Bogota,Xbox,Estrategia,100000,1
212,2024-06-16,Bucaramanga,PC,Aventura,170000,1
213,2024-04-18,Medellin,Xbox,RPG,130000,1
214,2024-03-13,Bogota,PlayStation,Aventura,160000,4
215,2024-06-19,Bogota,PlayStation,Deportes,120000,1
216,2024-03-10,Cartagena,Nintendo,Shooter,140000,3
217,2024-01-13,Cartagena,PlayStation,Estrategia,170000,2
218,2024-03-05,Cartagena,Xbox,Shooter,160000,4
219,2024-04-22,Cali,PlayStation,RPG,140000,4
220,2024-05-17,Bogota,Xbox,Estrategia,150000,1
221,2024-02-13,Medellin,PC,Estrategia,90000,4
222,2024-05-31,Medellin,PC,Deportes,110000,1
223,2024-06-14,Cartagena,Nintendo,Deportes,110000,2
224,2024-02-11,Medellin,PlayStation,Shooter,90000,4
225,2024-06-20,Bucaramanga,PlayStation,Estrategia,160000,1
226,2024-01-26,Bucaramanga,PlayStation,Aventura,90000,2
227,2024-06-05,Barranquilla,PC,Accion,120000,1
228,2024-01-25,Bogota,Xbox,Estrategia,100000,1
229,2024-01-20,Bucaramanga,PC,Aventura,180000,2
230,2024-01-29,Medellin,Nintendo,RPG,180000,3
231,2024-02-18,Barranquilla,PlayStation,Deportes,170000,2
232,2024-04-24,Bucaramanga,Xbox,Accion,160000,3
233,2024-03-29,Cartagena,Nintendo,Accion,90000,3
234,2024-06-05,Cali,Xbox,Accion,150000,4
235,2024-03-17,Medellin,PC,Accion,110000,3
236,2024-04-06,Medellin,PC,RPG,130000,2
237,2024-03-06,Cartagena,PC,Shooter,150000,4
238,2024-03-08,Medellin,PC,Shooter,140000,4
239,2024-03-15,Medellin,PC,Aventura,120000,3
240,2024-02-14,Bogota,Nintendo,RPG,120000,1
241,2024-04-30,Bogota,Xbox,Shooter,100000,3
242,2024-03-23,Barranquilla,Xbox,Estrategia,100000,4
243,2024-05-31,Cali,PC,Deportes,90000,3
244,2024-06-02,Cartagena,PC,Deportes,100000,4
245,2024-04-21,Cartagena,PlayStation,Estrategia,100000,4
246,2024-01-20,Medellin,Nintendo,RPG,130000,1
247,2024-03-18,Bucaramanga,PC,Estrategia,180000,2
248,2024-04-19,Barranquilla,PC,Deportes,140000,2
249,2024-04-20,Barranquilla,Xbox,RPG,100000,1
250,2024-03-26,Bogota,Xbox,Shooter,110000,1
251,2024-03-07,Medellin,PlayStation,Estrategia,150000,3
252,2024-03-17,Cartagena,Xbox,Deportes,90000,3
253,2024-04-05,Cartagena,Nintendo,Aventura,160000,1
254,2024-05-09,Cartagena,PlayStation,Deportes,130000,2
255,2024-06-07,Medellin,PC,Estrategia,110000,1
256,2024-03-25,Cali,PC,RPG,140000,4
257,2024-06-29,Bucaramanga,PC,Deportes,110000,1
258,2024-06-18,Bogota,Nintendo,Deportes,180000,3
259,2024-06-02,Medellin,Xbox,Accion,130000,3
260,2024-06-14,Barranquilla,Xbox,Accion,130000,3
261,2024-01-24,Barranquilla,Xbox,RPG,170000,3
262,2024-04-13,Cartagena,PlayStation,Shooter,110000,3
263,2024-01-12,Bogota,PC,Accion,120000,4
264,2024-02-22,Barranquilla,Xbox,Shooter,180000,3
265,2024-01-04,Bogota,PC,RPG,160000,4
266,2024-04-06,Bucaramanga,Xbox,Estrategia,90000,2
267,2024-02-17,Bucaramanga,PlayStation,RPG,170000,1
268,2024-04-15,Medellin,PC,Accion,150000,4
269,2024-01-28,Bucaramanga,PC,Accion,90000,2
270,2024-04-15,Bucaramanga,Xbox,Deportes,140000,3
271,2024-06-19,Cartagena,PC,Deportes,170000,3
272,2024-02-13,Bucaramanga,Xbox,Estrategia,140000,4
273,2024-04-18,Medellin,Xbox,Shooter,150000,4
274,2024-03-12,Medellin,PlayStation,Accion,170000,2
275,2024-06-27,Bogota,PC,Aventura,140000,2
276,2024-06-08,Bogota,Xbox,Aventura,100000,4
277,2024-06-02,Bogota,PC,Accion,90000,4
278,2024-05-19,Bucaramanga,Xbox,RPG,110000,2
279,2024-01-20,Bogota,PlayStation,Shooter,170000,4
280,2024-05-02,Barranquilla,Xbox,Deportes,150000,3
281,2024-05-31,Cartagena,Nintendo,RPG,140000,4
282,2024-05-20,Medellin,PlayStation,RPG,140000,1
283,2024-02-03,Cali,PC,Estrategia,100000,3
284,2024-02-05,Cartagena,PC,Estrategia,160000,4
285,2024-05-05,Cartagena,PC,Shooter,120000,2
286,2024-02-10,Bucaramanga,Xbox,Shooter,120000,4
287,2024-04-11,Barranquilla,Nintendo,Estrategia,130000,2
288,2024-04-14,Barranquilla,PC,Estrategia,180000,1
289,2024-01-18,Barranquilla,Xbox,Deportes,100000,1
290,2024-01-22,Bogota,Xbox,Deportes,110000,4
291,2024-02-12,Bucaramanga,Nintendo,Estrategia,160000,2
292,2024-06-02,Bogota,Xbox,RPG,100000,4
293,2024-05-01,Barranquilla,PC,Aventura,170000,4
294,2024-05-15,Medellin,PlayStation,Estrategia,100000,4
295,2024-04-24,Cali,Xbox,RPG,110000,3
296,2024-06-09,Medellin,Nintendo,Accion,160000,3
297,2024-04-17,Cali,Xbox,Accion,140000,1
298,2024-04-23,Cali,PlayStation,Deportes,100000,2
299,2024-01-18,Bogota,Nintendo,Aventura,170000,4
300,2024-05-10,Cartagena,Nintendo,Accion,130000,2
301,2024-02-19,Cartagena,Xbox,Aventura,140000,3
302,2024-03-17,Cartagena,PlayStation,Estrategia,90000,4
303,2024-06-16,Medellin,Nintendo,RPG,90000,1
304,2024-05-09,Cartagena,PC,Estrategia,90000,1
305,2024-04-11,Bogota,PC,Accion,90000,1
306,2024-03-26,Barranquilla,PC,RPG,170000,3
307,2024-04-16,Cartagena,PlayStation,Aventura,150000,1
308,2024-06-26,Bucaramanga,PlayStation,Deportes,180000,2
309,2024-02-03,Bucaramanga,PC,Estrategia,180000,4
310,2024-03-23,Cartagena,Xbox,Shooter,130000,1
311,2024-02-29,Bucaramanga,PC,Aventura,140000,3
312,2024-01-31,Cartagena,Xbox,Accion,180000,3
313,2024-06-15,Bucaramanga,PlayStation,Estrategia,160000,2
314,2024-06-01,Barranquilla,PlayStation,Shooter,140000,2
315,2024-05-13,Bogota,Xbox,Deportes,150000,4
316,2024-06-06,Cali,PC,Deportes,160000,3
317,2024-03-15,Barranquilla,Xbox,Estrategia,150000,4
318,2024-06-28,Medellin,Nintendo,Aventura,150000,1
319,2024-06-22,Bogota,Xbox,Deportes,120000,4
320,2024-05-12,Bucaramanga,Nintendo,Estrategia,160000,3
321,2024-01-14,Barranquilla,PC,RPG,130000,1
322,2024-06-07,Medellin,Nintendo,Aventura,120000,4
323,2024-02-11,Cartagena,PC,Aventura,90000,3
324,2024-04-26,Bucaramanga,Nintendo,Estrategia,140000,3
325,2024-01-27,Cali,Xbox,Shooter,90000,3
326,2024-03-15,Barranquilla,PC,Estrategia,140000,3
327,2024-04-01,Cartagena,PlayStation,RPG,160000,1
328,2024-03-06,Cali,Nintendo,Accion,150000,1
329,2024-06-26,Cartagena,PC,Estrategia,170000,4
330,2024-03-28,Cali,Nintendo,Shooter,180000,4
331,2024-01-30,Bucaramanga,Xbox,Deportes,90000,4
332,2024-05-07,Medellin,PlayStation,Estrategia,120000,2
333,2024-02-06,Barranquilla,PlayStation,RPG,180000,3
334,2024-01-29,Bucaramanga,Xbox,Aventura,100000,1
335,2024-03-09,Barranquilla,PC,Aventura,180000,4
336,2024-06-10,Barranquilla,Nintendo,RPG,110000,4
337,2024-02-17,Cali,PC,Deportes,180000,3
338,2024-02-07,Cali,Nintendo,Shooter,170000,4
339,2024-05-31,Bucaramanga,PlayStation,Aventura,100000,3
340,2024-05-03,Cartagena,PC,Deportes,90000,4
341,2024-05-15,Cali,PC,Estrategia,110000,3
342,2024-05-01,Cali,Nintendo,Aventura,110000,4
343,2024-03-16,Bogota,Nintendo,Aventura,90000,1
344,2024-06-11,Bogota,PC,Estrategia,130000,3
345,2024-06-26,Cartagena,Nintendo,Aventura,140000,4
346,2024-05-16,Cali,PlayStation,Deportes,110000,3
347,2024-05-20,Bogota,PlayStation,RPG,130000,4
348,2024-06-01,Barranquilla,Xbox,RPG,180000,3
349,2024-01-05,Bucaramanga,Xbox,Deportes,150000,3
350,2024-03-27,Cartagena,Xbox,RPG,180000,1
351,2024-02-13,Bucaramanga,PlayStation,RPG,90000,2
352,2024-05-24,Cali,Xbox,Deportes,140000,4
353,2024-01-29,Cartagena,Nintendo,Shooter,100000,1
354,2024-02-19,Medellin,PlayStation,Deportes,170000,1
355,2024-03-26,Barranquilla,Nintendo,Accion,150000,3
356,2024-04-27,Bogota,Nintendo,Shooter,110000,3
357,2024-04-03,Cali,PlayStation,Accion,150000,3
358,2024-04-21,Medellin,PC,RPG,180000,2
359,2024-05-29,Bogota,Xbox,RPG,160000,4
360,2024-06-27,Cartagena,Nintendo,Deportes,150000,3
361,2024-06-27,Barranquilla,PC,Accion,130000,2
362,2024-06-20,Medellin,PlayStation,Estrategia,120000,1
363,2024-05-23,Cartagena,Nintendo,Estrategia,100000,1
364,2024-04-29,Medellin,PC,Aventura,110000,1
365,2024-03-01,Cartagena,Nintendo,Shooter,90000,4
366,2024-05-08,Cali,PlayStation,Accion,90000,1
367,2024-04-02,Bucaramanga,Xbox,Estrategia,110000,2
368,2024-01-05,Bucaramanga,Nintendo,RPG,100000,1
369,2024-05-14,Bogota,Nintendo,Estrategia,170000,1
370,2024-04-28,Barranquilla,Xbox,Accion,120000,3
371,2024-02-05,Bogota,PC,Shooter,130000,1
372,2024-01-14,Cartagena,Xbox,Deportes,140000,4
373,2024-02-19,Barranquilla,PlayStation,Shooter,180000,1
374,2024-02-09,Cartagena,PC,Estrategia,130000,4
375,2024-01-28,Bogota,PlayStation,Deportes,160000,4
376,2024-05-17,Barranquilla,PlayStation,Shooter,150000,2
377,2024-06-04,Cali,PlayStation,RPG,130000,4
378,2024-04-02,Cali,PC,Shooter,170000,2
379,2024-02-03,Cartagena,PC,Estrategia,120000,4
380,2024-02-25,Bucaramanga,PlayStation,Accion,180000,4
381,2024-04-17,Bogota,PlayStation,Aventura,120000,4
382,2024-04-08,Bogota,Xbox,Aventura,160000,2
383,2024-02-14,Medellin,PlayStation,Deportes,100000,4
384,2024-03-09,Cartagena,Nintendo,Deportes,100000,2
385,2024-05-28,Medellin,PC,Deportes,140000,1
386,2024-02-25,Cartagena,Nintendo,Aventura,110000,2
387,2024-04-10,Cartagena,Nintendo,Aventura,150000,4
388,2024-05-06,Bogota,PC,Deportes,140000,3
389,2024-02-27,Cartagena,PlayStation,Estrategia,100000,1
390,2024-05-05,Bogota,PC,RPG,130000,4
391,2024-02-29,Medellin,PC,Shooter,160000,1
392,2024-03-10,Barranquilla,Xbox,Aventura,90000,1
393,2024-02-21,Bogota,PlayStation,Estrategia,120000,1
394,2024-05-09,Cali,PC,Aventura,170000,3
395,2024-01-15,Bogota,Xbox,Estrategia,110000,1
396,2024-04-07,Cartagena,PC,Accion,140000,3
397,2024-02-23,Bucaramanga,Nintendo,Deportes,100000,4
398,2024-01-16,Barranquilla,Xbox,Aventura,140000,4
399,2024-02-05,Bucaramanga,PC,Estrategia,120000,2
400,2024-03-27,Bogota,PC,Estrategia,170000,3
401,2024-05-02,Cartagena,PlayStation,Deportes,150000,3
402,2024-06-15,Cali,Nintendo,Deportes,90000,1
403,2024-04-27,Barranquilla,PC,Deportes,100000,4
404,2024-01-04,Medellin,PC,Aventura,140000,4
405,2024-05-25,Medellin,Xbox,Accion,120000,3
406,2024-06-11,Cartagena,Xbox,RPG,140000,1
407,2024-04-03,Bogota,Xbox,Estrategia,180000,2
408,2024-04-22,Barranquilla,Nintendo,Deportes,180000,2
409,2024-05-18,Barranquilla,PlayStation,Shooter,150000,3
410,2024-03-13,Bogota,PlayStation,Deportes,140000,1
411,2024-06-18,Medellin,PlayStation,Aventura,120000,2
412,2024-01-21,Barranquilla,Nintendo,Estrategia,160000,3
413,2024-05-27,Cartagena,PlayStation,Shooter,160000,4
414,2024-04-02,Barranquilla,Xbox,Shooter,110000,1
415,2024-06-18,Cali,PlayStation,RPG,130000,4
416,2024-05-10,Bucaramanga,PC,Aventura,170000,1
417,2024-03-12,Medellin,PC,Accion,90000,4
418,2024-03-18,Cartagena,Nintendo,Aventura,120000,2
419,2024-05-19,Barranquilla,Nintendo,Aventura,150000,2
420,2024-01-13,Medellin,Nintendo,RPG,150000,4
421,2024-03-10,Cartagena,Xbox,RPG,110000,2
422,2024-05-25,Cali,PlayStation,RPG,180000,1
423,2024-03-19,Cartagena,Xbox,Deportes,110000,1
424,2024-05-04,Bucaramanga,Xbox,RPG,130000,4
425,2024-05-15,Bogota,PC,Aventura,120000,4
426,2024-03-05,Cartagena,Nintendo,Deportes,100000,3
427,2024-01-27,Medellin,PlayStation,Shooter,120000,1
428,2024-04-16,Medellin,Nintendo,Deportes,100000,3
429,2024-05-23,Cali,Xbox,Deportes,120000,2
430,2024-03-28,Cali,PC,RPG,120000,2
431,2024-01-23,Cartagena,Xbox,Accion,140000,1
432,2024-06-28,Barranquilla,PlayStation,RPG,100000,3
433,2024-03-05,Bogota,Nintendo,Estrategia,170000,2
434,2024-06-25,Bogota,PlayStation,Estrategia,130000,4
435,2024-04-13,Bucaramanga,PlayStation,Estrategia,160000,3
436,2024-05-08,Bogota,PlayStation,Aventura,110000,4
437,2024-02-28,Bogota,Nintendo,Estrategia,130000,3
438,2024-01-10,Medellin,Nintendo,Estrategia,90000,1
439,2024-02-11,Bogota,PlayStation,Accion,120000,1
440,2024-04-15,Cali,Xbox,RPG,140000,1
441,2024-04-03,Bucaramanga,Nintendo,Estrategia,100000,2
442,2024-04-09,Bucaramanga,PlayStation,Shooter,180000,4
443,2024-02-17,Cartagena,Xbox,Shooter,100000,3
444,2024-06-24,Barranquilla,Xbox,Aventura,120000,2
445,2024-01-06,Cali,PC,Aventura,100000,2
446,2024-06-28,Barranquilla,PC,RPG,170000,2
447,2024-04-30,Barranquilla,PlayStation,Accion,90000,4
448,2024-03-12,Bucaramanga,Xbox,RPG,120000,3
449,2024-05-07,Medellin,PC,Aventura,120000,4
450,2024-06-04,Medellin,Xbox,Accion,110000,4
451,2024-01-01,Bucaramanga,Nintendo,Accion,100000,4
452,2024-03-08,Medellin,PlayStation,Deportes,110000,3
453,2024-02-14,Barranquilla,Xbox,Shooter,170000,4
454,2024-03-01,Bucaramanga,PC,Aventura,150000,3
455,2024-03-05,Cali,PlayStation,Aventura,120000,3
456,2024-01-21,Barranquilla,Xbox,Deportes,170000,1
457,2024-03-30,Bucaramanga,PC,Shooter,90000,4
458,2024-05-25,Cali,Xbox,Estrategia,160000,1
459,2024-05-27,Cartagena,PC,RPG,110000,4
460,2024-03-03,Barranquilla,PC,Deportes,90000,2
461,2024-01-30,Cartagena,PlayStation,RPG,160000,2
462,2024-05-26,Medellin,Nintendo,Deportes,140000,3
463,2024-01-23,Bogota,Nintendo,RPG,100000,4
464,2024-04-03,Barranquilla,Nintendo,Accion,170000,2
465,2024-01-21,Cali,PlayStation,Deportes,110000,2
466,2024-03-31,Medellin,PC,Aventura,110000,4
467,2024-03-18,Barranquilla,PC,Estrategia,90000,1
468,2024-01-10,Barranquilla,PlayStation,Aventura,100000,4
